"נושא מקור","פריטים","סיווג","יעד בעץ החדש","הערה","הורים במקור"
"אלול","1","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים"
"יום כפור","1","כפילות/שגיאת כתיב","חגים ומועדים › ימים נוראים","כפילות של ""יום כיפור""",""
"לולב","1","מקופל","חגים ומועדים › סוכות ושמחת תורה","פחות מ-3 פריטים, מקופל להורה","סוכות"
"פרשת זכור","1","נושא סינון","חגים ומועדים › פורים","","מועדים"
"הלכות פסח לחייל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"הלכות בין המצרים לחייל","1","תגית","מדינת ישראל וצה""ל › צה""ל וביטחון","ביטוי ספציפי עם פריט יחיד","צה""ל"
"הלכות ראש השנה לחייל","1","תגית","מדינת ישראל וצה""ל › צה""ל וביטחון","ביטוי ספציפי עם פריט יחיד","צה""ל"
"הלכות יום הכיפורים לחייל","1","תגית","מדינת ישראל וצה""ל › צה""ל וביטחון","ביטוי ספציפי עם פריט יחיד","צה""ל"
"הלכות סוכות לחייל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"הלכות חנוכה לחייל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"הלכות פורים לחייל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"בשר בחלב","1","כפילות/שגיאת כתיב","הלכה › כשרות ומזון","כפילות של ""בשר וחלב""","יורה דעה"
"קונטרס אהבת ישראל ואכילה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד",""
"סגולות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"תאריך נוצרי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"אמונות טפלות\דרכי אמורי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"סכנה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"שחייה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"טהרת המשפחה\מקוה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"נדרים\שבועות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"כיבוד אב ואם","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"שו""ת נכדים וסבים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"תלמידי חכם","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"רבנו הרב צבי יהודה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","יורה דעה"
"הלכות בין הזמנים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"לימוד גמרא לבנות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"בשם אומרו","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הסכם יששכר וזבולון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"רבי נחמן","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"סיום","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"צדקה ומעשר כספים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"שמות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"ספר תורה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"כבוד הספרים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גניזה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"חדש","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"אבלות","1","נושא סינון","הלכה › אבלות","",""
"רפואה","1","נושא סינון","הלכה › רפואה ופיקוח נפש","","יורה דעה"
"שבע ברכות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"נישואים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גידול בנים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גיטין\גירושים","1","נושא סינון","הלכה › נישואין ואישות","",""
"שמירת נגיעה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"תנועת נוער","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בגדים\יופי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"שירה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"יחוד","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"ייחוד","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בידור","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות ביקור במוזיאון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"סמ""ס","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"טלפון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"אינטרנט","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"יצרים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"טהרת הברית","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הרצל","1","נושא סינון","מדינת ישראל וצה""ל › גאולת ישראל וציונות","",""
"אנטי ציונים חריפים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"עברית","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"טיולים בארץ ישראל","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"ממשלת ישראל","1","מקופל","מדינת ישראל וצה""ל","פחות מ-3 פריטים, מקופל להורה","מדינת ישראל"
"מדי צה""ל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"מלחמה","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"עמלק","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"שו""ת על הגירוש מגוש קטיף, לפניו ולאחריו","1","תגית","הלכה › מצוות ומנהגים","משפט ארוך","עניינים שונים"
"פרשת גלעד שליט","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"מבצע ""עומד הענן""","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"שירות לאומי","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"יהונתן פולארד","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"ערבים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"משיח","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"חב""ד","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"מידות טובות","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"מצוות\הלכה","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"קידוש השם","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"הלוואה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"מסחר","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"השבת אבידה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"עבודה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בל תשחית","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"צער בעלי חיים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בעלי חיים - שונות","1","כפילות/שגיאת כתיב","→ בעלי חיים – שונות","כפילות של ""בעלי חיים – שונות""",""
"הלכות שומרים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"שקר","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גניבת דעת","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"חוקי תנואה","1","כפילות/שגיאת כתיב","→ חוקי תנועה","כפילות של ""חוקי תנועה""",""
"הלכות טרמפ","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות אוטובוס","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"נזקים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות חורף","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בית משפט","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"סנהדרין","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בית דין","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"רוצחים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות שכנים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"ספרות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"שירה\מוזיקה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות פירות שביעית","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"ראשית הגז","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"ערלה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות כתב סת""ם","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"רבנות ראשית","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"אמונות תפלות\דרכי האמורי","1","כפילות/שגיאת כתיב","→ אמונות טפלות\דרכי אמורי","כפילות של ""אמונות תפלות\דרכי אמורי""",""
"עבודה זרה וכפירה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"יום הזכרון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"שואה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"אייר","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות שלג ושבת","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"מלך ישראל","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"הלכות אזעקה – בזמן מבצע צוק איתן","1","תגית","הלכה › מצוות ומנהגים","משפט ארוך",""
"מבצע צוק איתן","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"פרשת שלושת החטופים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"דינא דמלכותא דינא","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בית-דין","1","כפילות/שגיאת כתיב","→ בית דין","כפילות של ""בית דין""",""
"חוקי תנועה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"בל תשחית במזון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"אינטרנט\סלולרי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"יופי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גידול בנים\חינוך ילדים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"קדושת כוהנים","1","כפילות/שגיאת כתיב","→ קדושת כהנים","כפילות של ""קדושת כהנים""",""
"גינת נוי בשנת שמיטה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד",""
"גניזה\קדושת דברי תורה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"סת""ם","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גרים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"שאלות מבני ישיבות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"רב ראשי","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"טהרת המשפחה\מקווה","1","כפילות/שגיאת כתיב","→ טהרת המשפחה\מקוה","כפילות של ""טהרת המשפחה\מקוה""",""
"עישון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הושענא רבה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"ענייני פיוס ומחילה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"תספורת וגילוח בספירת העומר","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד",""
"ימי הספירה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"פסח – מצה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"פסח – חמץ\קטניות","1","כפילות/שגיאת כתיב","→ פסח – חמץ וקטניות","כפילות של ""פסח – חמץ וקטניות""",""
"שבת – מוצש""ק והבדלה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד",""
"אורח ומארח","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"מנחה\מעריב","1","כפילות/שגיאת כתיב","תפילה › הלכות תפילה","כפילות של ""מנחה ומעריב""",""
"ברכת כוהנים","1","כפילות/שגיאת כתיב","תפילה › הלכות תפילה","כפילות של ""ברכת כהנים""",""
"תפילה - דינים שונים","1","כפילות/שגיאת כתיב","→ תפילה – דינים שונים","כפילות של ""תפילה – דינים שונים""",""
"קדיש על ידי אישה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","אורח חיים"
"בר מצווה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"נטילת ידיים\רחיצה","1","מקופל","→ נטילת ידיים\רחיצה","פחות מ-3 פריטים, מקופל להורה",""
"נטילת ידים\רחיצה","1","כפילות/שגיאת כתיב","→ נטילת ידיים\רחיצה","כפילות של ""נטילת ידיים\רחיצה""","אורח חיים"
"שינה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"עניית שאלות טלפון","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"הלכות ברכת 'ברוך שפטרני' בבר מצווה","1","תגית","הלכה","משפט ארוך",""
"ארבעת המינים בשנת שמיטה","1","תגית","חגים ומועדים › סוכות ושמחת תורה","ביטוי ספציפי עם פריט יחיד","סוכות"
"גוי בסוכה","1","מקופל","חגים ומועדים › סוכות ושמחת תורה","פחות מ-3 פריטים, מקופל להורה","סוכות"
"פורים טיש תשע""ו","1","מקופל","חגים ומועדים","פחות מ-3 פריטים, מקופל להורה","מועדים"
"אמונות תפלות\דרכי אמורי","1","כפילות/שגיאת כתיב","→ אמונות טפלות\דרכי אמורי","כפילות של ""אמונות טפלות\דרכי אמורי""",""
"שו""ת קבר רחל","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"פריה ורביה\הריון","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גידול ילדים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"גיטין\גירושין","1","כפילות/שגיאת כתיב","הלכה › נישואין ואישות","כפילות של ""גיטין\גירושים""",""
"מפלגת הבית היהודי","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"מפלגת יחד-העם-איתנו","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"גיוס בנות לצה""ל","1","מקופל","מדינת ישראל וצה""ל › צה""ל וביטחון","פחות מ-3 פריטים, מקופל להורה","צה""ל"
"טרור","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"פיגוע בבית כנסת בהר נוף","1","תגית","הלכה › מצוות ומנהגים","ביטוי ספציפי עם פריט יחיד",""
"שם ד' ופסוקים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"ברכות - שונות","1","כפילות/שגיאת כתיב","→ ברכות – שונות","כפילות של ""ברכות – שונות""","אורח חיים"
"שבת - מלאכות","1","נושא סינון","הלכה › שבת","","אורח חיים"
"פסח – שונות","1","מקופל","חגים ומועדים","פחות מ-3 פריטים, מקופל להורה","מועדים"
"הר הבית\בית המקדש","1","כפילות/שגיאת כתיב","מדינת ישראל וצה""ל › הר הבית ובית המקדש","כפילות של ""הר הבית ובית המקדש""","אורח חיים"
"רפורמה","1","נושא סינון","אמונה › זרמים ביהדות","",""
"כת","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"כלאיים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"מתנות כהונה","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"שמירת עיניים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אבן העזר"
"אומנות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"הלכות ספינר","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אבן העזר"
"בעלי חיים – שונות","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד",""
"ציונות","1","נושא סינון","מדינת ישראל וצה""ל › גאולת ישראל וציונות","",""
"ישוב עמונה","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"שו""ת טראמפ","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"השכמה בבוקר","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"תשעת הימים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"תהילים","1","מקופל","תפילה","פחות מ-3 פריטים, מקופל להורה","תפילה"
"מעגל השנה - הלכה","0","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","הלכה"
"ציצית ותפילין","0","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"אורות","0","סדרה/ספר","אורות","","אמונה | הרב קוק | תורה"
"אורח חיים - הלכות יום-יום","0","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","הלכה"
"מעגל השנה","0","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"אורות הקודש ב'","0","סדרה/ספר","אורות הקודש ב'","","אורות הקודש"
"למהלך האידאות בישראל","0","סדרה/ספר","למהלך האידאות בישראל","","אורות"
"קריאה גדולה","0","סדרה/ספר","קריאה גדולה","","אורות"
"עין איה - ברכות ב'","0","סדרה/ספר","עין איה - ברכות ב'","","עין איה"
"אורות התחיה","0","סדרה/ספר","אורות התחיה","","אורות"
"אורות ישראל ותחיתו","0","סדרה/ספר","אורות ישראל ותחיתו","","אורות"
"חתונה-מיוחדים","0","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אבן העזר"
"שיעורים מישיבת עטרת ירושלים","0","אוסף/מכל","מקור: ישיבת עטרת ירושלים","",""
"Emouna","0","אוסף/מכל","Cours en Français (/french)","",""
"אורות הקודש","0","סדרה/ספר","אורות הקודש ב'","",""
"עין איה","0","סדרה/ספר","ספר: עין איה","",""
"שו""ת סמס - עולם קטן","0","אוסף/מכל","מקור: שו""ת סמס - עולם קטן","",""
"ישיבות","0","נושא סינון","תורה ולימוד › ישיבות ומכינות","",""
